customer_id,name,email,phone,join_date
1,Amanda Cain,nicolebentley@gmail.com,+1-943-667-2460x066,2024-07-26
2,Mary Martinez,michellele@dominguez.com,810-683-0191,2023-06-28
3,Heather Shannon,robindavis@wallace-avery.biz,(297)300-2806,2024-05-23
4,Jo Jackson PhD,martinanderson@yahoo.com,001-234-750-5845x585,2023-06-11
5,Selena Combs,marvin36@gmail.com,+1-319-837-8801,2023-09-06
6,Lance Parsons,cynthiahernandez@guerrero.net,001-940-872-1126x157,2024-03-15
7,Michelle Ferguson,whitecindy@gmail.com,6314340143,2025-01-27
8,Katherine Bender,davisariel@yahoo.com,1975487486,2023-10-25
9,Sean Marks,qhenry@hughes.com,+1-971-489-4362x3028,2023-07-22
10,John Taylor,michelehendrix@hotmail.com,171-670-7827x27028,2025-01-07
11,Brian Gibson,vgardner@parsons.com,(724)570-3171x92824,2023-09-19
12,Patricia Ramirez,jennifergalvan@roberts-stokes.net,139-253-0124x66531,2024-02-25
13,Martha Blake,tiffany63@yahoo.com,+1-781-282-9437,2024-06-30
14,Thomas Cruz,bakerpamela@yahoo.com,+1-665-876-5327,2025-06-03
15,Calvin Campbell,wardkelsey@estrada.net,140.236.0400x67768,2025-03-05
16,Rhonda Scott,thomaspham@yahoo.com,757.379.9469x13308,2025-01-11
17,Todd Walls,stevensonrachel@brown.info,(918)324-0413x587,2023-09-11
18,Nicole Bailey,allisonblackwell@hotmail.com,757.657.9442,2024-10-25
19,Austin Dominguez,glennrenee@allen.org,001-043-411-1793x7810,2024-07-13
20,Brian Fields,fcruz@gould.info,778.200.7684x1495,2024-09-13
21,Tracy Johns,jamesnavarro@nelson.net,908.806.4053x306,2024-10-20
22,Jose Parker,campbelljack@yahoo.com,431-816-2594x90162,2024-01-24
23,Kenneth Johnson,randy27@yahoo.com,4016969375,2025-06-10
24,Mary Howard,simoncathy@yahoo.com,(851)421-3669x193,2024-11-25
25,Beth Hayes,spencer99@gmail.com,537-022-4412,2024-08-08
26,Donna Mcguire,jclarke@costa.com,001-049-828-8248,2025-04-18
27,Benjamin Reese,john78@yahoo.com,8903015342,2024-11-07
28,Debbie Smith,allentravis@gmail.com,046-623-3810x013,2024-02-18
29,Nathaniel Lewis,donald99@gmail.com,001-385-498-2711,2024-12-21
30,Megan Moore,shanemartin@yahoo.com,+1-633-713-2722x98467,2024-10-09
31,Kari Mathis,jmarsh@mills-melton.com,(195)356-5751x1717,2024-05-15
32,Justin White,ofowler@jordan-chapman.com,(768)062-9756,2024-03-15
33,Rhonda Adkins,jarmstrong@hotmail.com,(571)671-6148,2023-07-30
34,Charlotte Nelson,robertosanders@medina.com,127.343.9637,2024-07-12
35,William Lopez,laurenclarke@vasquez.net,573.472.0756,2024-10-19
36,Lindsey Velazquez,susanjones@gmail.com,001-514-720-3827x02698,2024-04-04
37,Denise Ferguson,stevendavila@gmail.com,176.198.5120,2024-08-29
38,Jessica Holland,cookkenneth@ramirez.net,001-643-120-0877x7936,2025-04-12
39,Joshua Nicholson,vcarlson@yahoo.com,9100086354,2024-09-29
40,Willie Wu,robert16@west.org,+1-577-885-7541x2576,2023-07-20
41,Sally Golden,natalie02@harris-martin.com,190.177.9923,2024-05-06
